ref,itemDescriptionEN,brand,nameEN,encodeNameEN,title,description,full_description
025555D0,Exosome Collagen EX Serum,APLB,Loss of Firmness,skin/loss-firmness/seruns,Exosome Collagen EX Facial Serum,"Discover the secret to firmer, soothed skin with APLB Exosome Collagen EX Facial Serum — a revolutionary formula designed to lift, calm, and hydrate all in one.Firm! Soothe! Glow!Key Benefits:Boosts collagen, tightens skinCalms and deeply hydratesBrightens, improves skin textureSafe for sensitive skinHypoallergenic and irritation-freeActive Ingredients:EXOS EX COLL CEN: Advanced collagen-boosting exosome blend for elasticityCentella Asiatica + 3x Complex: Promotes healing, reduces rednessNiacinamide: Brightens tone, strengthens barrierAPLB Exosome Collagen EX Facial Serum is a skin-transforming essential for anyone seeking lifted, resilient skin without irritation. Backed by clinical testing and packed with advanced actives, it's the perfect daily boost for radiant confidence.","APLB Exosome Collagen EX Serum Discover the secret to firmer, soothed skin with APLB Exosome Collagen EX Facial Serum — a revolutionary formula designed to lift, calm, and hydrate all in one.Firm! Soothe! Glow!Key Benefits:Boosts collagen, tightens skinCalms and deeply hydratesBrightens, improves skin textureSafe for sensitive skinHypoallergenic and irritation-freeActive Ingredients:EXOS EX COLL CEN: Advanced collagen-boosting exosome blend for elasticityCentella Asiatica + 3x Complex: Promotes healing, reduces rednessNiacinamide: Brightens tone, strengthens barrierAPLB Exosome Collagen EX Facial Serum is a skin-transforming essential for anyone seeking lifted, resilient skin without irritation. Backed by clinical testing and packed with advanced actives, it's the perfect daily boost for radiant confidence."
013733RK,"Frizz Dismiss Shampoo Frizzy, Unmanageable Hair ",Redken,Dry to Very Dry Hair,hair/dry-damaged-hair/shampoo,"Frizz Dismiss Shampoo Frizzy, Unmanageable Hair","Frizz Dismiss Shampoo is a care with anti-moisture and softening action, to protect the hair from the frizz effect!  Discover the new FRIZZ DISMISS range that offers moisture protection and combats the frizz effect.   Protection against the frizz effect for 24h!   The new formula is enriched with 1% Straightening Complex,   Anionic and Amphoteric Surfactants for cleaning and Citric Acid, Silicone and Conditioning Polymers to balance the pH and give smoothness.  Fragrance Olfactory Atmosphere:  Top notes:  Pear, Citrus, Freesia  Heart notes:  Jasmine  Base notes:  Vanilla, Woods","Redken Frizz Dismiss Shampoo Frizzy, Unmanageable Hair  Frizz Dismiss Shampoo is a care with anti-moisture and softening action, to protect the hair from the frizz effect!  Discover the new FRIZZ DISMISS range that offers moisture protection and combats the frizz effect.   Protection against the frizz effect for 24h!   The new formula is enriched with 1% Straightening Complex,   Anionic and Amphoteric Surfactants for cleaning and Citric Acid, Silicone and Conditioning Polymers to balance the pH and give smoothness.  Fragrance Olfactory Atmosphere:  Top notes:  Pear, Citrus, Freesia  Heart notes:  Jasmine  Base notes:  Vanilla, Woods"
007277IS,Woman Isdin Vulvar Moisturizer ,Isdin,Female Intimate Hygiene,body/female-intimate-hygiene,Woman Isdin Intimate-Vulvar,"Gynecological moisturizer for dryness and vulvar irritation.   Moisturizing and comfort of vulvar zone...   Provides a barrier prolonged effect against agressions protecting dryness, irritation and itch (withpoliglicerilmetacrilate,lauromacrogol, protective polymers,...).","Isdin Woman Isdin Vulvar Moisturizer  Gynecological moisturizer for dryness and vulvar irritation.   Moisturizing and comfort of vulvar zone...   Provides a barrier prolonged effect against agressions protecting dryness, irritation and itch (withpoliglicerilmetacrilate,lauromacrogol, protective polymers,...)."
009391IM,Isotonic Sea Water for Baby Spray ,Marimer,Nasal Congestion,mom-baby/first-years/nasal-congestion,Sea Water for Baby Isotonic,"A regular nasal hygiene promotesnasal mucosa protection against external aggressions and helps prevent infections of the ears, nose and throat.  When using baby nasal hygiene marimer, helps ensure the respiratory function of the baby who is exclusively nasal up to six months of age.   A 100% natural sea water for a daily nasal hygiene.   The isotonic concentration helps to moisten the dry nasal mucosa. Contains 100% seawater diluted isotonic sterile (9 g/l of salts).  This medical device is provided with a process of microdiffusion which facilitates agently elimination of nasal secretions . With the wide and secure your applicator allows safe use in newborns.","Marimer Isotonic Sea Water for Baby Spray  A regular nasal hygiene promotesnasal mucosa protection against external aggressions and helps prevent infections of the ears, nose and throat.  When using baby nasal hygiene marimer, helps ensure the respiratory function of the baby who is exclusively nasal up to six months of age.   A 100% natural sea water for a daily nasal hygiene.   The isotonic concentration helps to moisten the dry nasal mucosa. Contains 100% seawater diluted isotonic sterile (9 g/l of salts).  This medical device is provided with a process of microdiffusion which facilitates agently elimination of nasal secretions . With the wide and secure your applicator allows safe use in newborns."
009088UL,SOS Insects Multi-Calming Cream for Children and Adults ,Puressentiel,Repellents & Lice,health-care/insect-repellent,SOS Insects Multi-Calming Cream for Children and Adults,"Refreshing essential oils and emollient vegetable oils, for a soothing action on irritated skin.The Sos insects multi-calming cream for children and adults has a formula of 99.8% vegetable origin; which is able to relieve the itching from the insect or plant bites.Skin regenerated and soothed.With essential oils fromclove, lavandin, lavender, lemongrass, peppermint and tea tree.Suitable for children over 3 years old.","Puressentiel SOS Insects Multi-Calming Cream for Children and Adults  Refreshing essential oils and emollient vegetable oils, for a soothing action on irritated skin.The Sos insects multi-calming cream for children and adults has a formula of 99.8% vegetable origin; which is able to relieve the itching from the insect or plant bites.Skin regenerated and soothed.With essential oils fromclove, lavandin, lavender, lemongrass, peppermint and tea tree.Suitable for children over 3 years old."
001558CG,Gold Pearls ,Cellulase,Weight Management,supplements-vitamins/weight-management,Gold Pearls Anti-Cellulite,"The most effective way to fight cellulite is to actin depth, beacuse celluliteforms through the modification of the subcutaneous tissue.  Cosmeticsby definitionactonly onthe skin s surface, withtopical actionwhichis not enough against cellulite, accumulation of liquids and fats.  Cellulase Gold Pearls, in capsules to work from the inside, is the oralanti-cellulitis of worldwidereference and the only one with demonstrated effectiveness in international scientific journals.   It s made from a patented and advancedform (with RecaptaCell&trade; Advanced), to attack the cellulite and theaccumulation of liquids and fats.   Get visible results in the reduction of your hips, thighs and ankles</i>measures, and eliminate the unsightly orange peel look!   The unique Recaptacell&trade; Advancedcomplex favours a correct fluidification of the cell membranes.  This action is important in the prevention of excessive fluid retention and improves the elasticity of the skin.  The Bioflavonoids contribute to amicrocirculationimprovement, optimizing the blood flow and allowing the reduction of swelling in the legs.  These ingredients are also an important antioxidant that combats free radical activity, improving the elasticity of the tissues and reducing the appearance of cellulite.","Cellulase Gold Pearls  The most effective way to fight cellulite is to actin depth, beacuse celluliteforms through the modification of the subcutaneous tissue.  Cosmeticsby definitionactonly onthe skin s surface, withtopical actionwhichis not enough against cellulite, accumulation of liquids and fats.  Cellulase Gold Pearls, in capsules to work from the inside, is the oralanti-cellulitis of worldwidereference and the only one with demonstrated effectiveness in international scientific journals.   It s made from a patented and advancedform (with RecaptaCell&trade; Advanced), to attack the cellulite and theaccumulation of liquids and fats.   Get visible results in the reduction of your hips, thighs and ankles</i>measures, and eliminate the unsightly orange peel look!   The unique Recaptacell&trade; Advancedcomplex favours a correct fluidification of the cell membranes.  This action is important in the prevention of excessive fluid retention and improves the elasticity of the skin.  The Bioflavonoids contribute to amicrocirculationimprovement, optimizing the blood flow and allowing the reduction of swelling in the legs.  These ingredients are also an important antioxidant that combats free radical activity, improving the elasticity of the tissues and reducing the appearance of cellulite."
004878SE,Repaskin Body Fluid Sunscreen,Sesderma,Normal Skin,sun-tan/body/normal-skin,Repaskin Boby Light Fluid Sunscreen SPF50+,"A facial and body sun care for the protection and prevention of skin aging caused by sun exposure.Sesderma Repaskin Body Light Fluid Sunscreen SPF50+ has a pleasant, non-greasy texture that spreads easily for better protection.Repair of DNA that neutralizes and reverses the sun damage on your skinRepaskin is a line with a new SHIELD-SYSTEM TECHNOLOGY formulated to strengthen the protection and repair of the skin's own DNA with studies demonstrating its effectiveness and results.","Sesderma Repaskin Body Fluid Sunscreen A facial and body sun care for the protection and prevention of skin aging caused by sun exposure.Sesderma Repaskin Body Light Fluid Sunscreen SPF50+ has a pleasant, non-greasy texture that spreads easily for better protection.Repair of DNA that neutralizes and reverses the sun damage on your skinRepaskin is a line with a new SHIELD-SYSTEM TECHNOLOGY formulated to strengthen the protection and repair of the skin's own DNA with studies demonstrating its effectiveness and results."
000444UR,Pruriced Gel ,Uriage,Atopic Dermatitis,body/moisturisers/atopic-dermatitis,Pruriced Itching Relief Gel,"Pruriced gel with calamine to 8%, chamomile and Uriage thermal spring water, is a non-oily gel which soothes and provides a quick relief of itchingof fragile and irritatedskin.Itsgel texture, it's very easy to spread and suitable for more extensive areas (legs and arms), returning a sense of freshness and immediate relief.Refreshing gelCalms and soothes irritated skin with itchingThe indicated carefor a soothing and refreshing action with an immediate relief of itching.<br>Indicated in smallsunburns, solar urticaria, insect bites, chicken pox, itching of extensive hairyareas.","Uriage Pruriced Gel  Pruriced gel with calamine to 8%, chamomile and Uriage thermal spring water, is a non-oily gel which soothes and provides a quick relief of itchingof fragile and irritatedskin.Itsgel texture, it's very easy to spread and suitable for more extensive areas (legs and arms), returning a sense of freshness and immediate relief.Refreshing gelCalms and soothes irritated skin with itchingThe indicated carefor a soothing and refreshing action with an immediate relief of itching.<br>Indicated in smallsunburns, solar urticaria, insect bites, chicken pox, itching of extensive hairyareas."
002644CS,Instant Eye Make-Up Remover ,Clarins,Eye Makeup Removers,makeup/eyes-brows/eye-makeup-removers,Instant Eye Make-Up Remover,"Instant Eye Make-Up Remover is a bi-phasic lotion extremely smooth with no oily effect!An express in eye make-up remover!This eye make-up remover, made from ultra-fine oils, instantly and perfectly removes eye make-up, even the most intense and water-resistant.Tolerance tested under ophthalmic control to suit the most sensitive eyes, including contact lens wearers.","Clarins Instant Eye Make-Up Remover  Instant Eye Make-Up Remover is a bi-phasic lotion extremely smooth with no oily effect!An express in eye make-up remover!This eye make-up remover, made from ultra-fine oils, instantly and perfectly removes eye make-up, even the most intense and water-resistant.Tolerance tested under ophthalmic control to suit the most sensitive eyes, including contact lens wearers."
021309OO,Keto Plus Shampoo,Ioox,Oily Hair,hair/shampoo/oily-hair,Keto Plus Shampoo Antiseborreic Shampoo,"Transform your hair care routine with Ioox Keto Plus Shampoo, the ultimate solution for oily dandruff and excess sebum.Cleanse, Balance, Renew—Experience Scalp PerfectionKey Benefits:Eliminates oily dandruff and excess sebumCleanses and exfoliates the scalpReduces inflammation and itchinessPromotes healthy cell renewalProvides astringent and antiseptic propertiesActive Ingredients:Salicylic acid: Cleanses, exfoliates, and renews cellsPiroctone olamine: Anti-dandruff, inhibits fungal growthIchthyol pale: Reduces inflammation and regulates sebumEssence of salvia: Astringent and antiseptic propertiesIoox Keto Plus Shampoo is a must-have for anyone dealing with oily dandruff and excess sebum. This groundbreaking formula, enriched with salicylic acid, piroctone olamine, ichthyol pale, and essence of salvia, offers comprehensive scalp care by eliminating dandruff, reducing inflammation, and regulating oil production. Enjoy a refreshed, balanced, and healthier scalp with each wash.","Ioox Keto Plus Shampoo Transform your hair care routine with Ioox Keto Plus Shampoo, the ultimate solution for oily dandruff and excess sebum.Cleanse, Balance, Renew—Experience Scalp PerfectionKey Benefits:Eliminates oily dandruff and excess sebumCleanses and exfoliates the scalpReduces inflammation and itchinessPromotes healthy cell renewalProvides astringent and antiseptic propertiesActive Ingredients:Salicylic acid: Cleanses, exfoliates, and renews cellsPiroctone olamine: Anti-dandruff, inhibits fungal growthIchthyol pale: Reduces inflammation and regulates sebumEssence of salvia: Astringent and antiseptic propertiesIoox Keto Plus Shampoo is a must-have for anyone dealing with oily dandruff and excess sebum. This groundbreaking formula, enriched with salicylic acid, piroctone olamine, ichthyol pale, and essence of salvia, offers comprehensive scalp care by eliminating dandruff, reducing inflammation, and regulating oil production. Enjoy a refreshed, balanced, and healthier scalp with each wash."
016821BL,Fit Me Blush ,Maybelline,Blush,makeup/complexion/blush,Fit Me Blush,"Fit Me Blushis a powder blush that enhances and adds color to your face.For a healthy look and a natural flush!This lightweight powder blends naturally into the skin, enhancing tone, providing radiance and a healthier, flattering look.The pigments offer natural color all day long.Long-lasting blush ideal for dark skin, pale skin, and all shades in between.Dermatologically tested.Non-comedogenic.","Maybelline Fit Me Blush  Fit Me Blushis a powder blush that enhances and adds color to your face.For a healthy look and a natural flush!This lightweight powder blends naturally into the skin, enhancing tone, providing radiance and a healthier, flattering look.The pigments offer natural color all day long.Long-lasting blush ideal for dark skin, pale skin, and all shades in between.Dermatologically tested.Non-comedogenic."
024280GG,Rouge Eau de Parfum,Karl Lagerfeld,Fragrances,fragrance/women,Rouge Eau de Parfum,"Discover Karl Lagerfeld Rouge Eau de Parfum, the bold revival of an iconic fragrance—where timeless elegance meets daring modernity in a dazzling fruity-floral harmony.Where red speaks louder than words!What is the story of Karl Lagerfeld Rouge Eau de Parfum?After nearly a decade, Karl Lagerfeld’s signature scent is reborn as Rouge, paying homage to the designer’s beloved shade of red. Crafted by perfumer Romain Almairac, this eau de parfum captures the contrast of classical elegance and avant-garde energy—an olfactory paradox inspired by Lagerfeld's world.Fragrance Features:Distinctive red bottle with iconic geometric designModern yet timeless, bold yet balancedFragrance Composition:The fragrance opens with a vibrant blend of blackcurrant, pear, and peach, creating a juicy and inviting introduction that immediately captures the senses. As it unfolds, the heart reveals a radiant bouquet of jasmine and orange blossom, delicately enhanced by the earthy richness of patchouli. This floral-spicy core brings both lightness and depth, adding a sensual dimension to the composition. Finally, the base settles into a warm, enveloping embrace of ambroxan, smooth vanilla, creamy caramel, and the soft elegance of cashmere wood. This lasting trail offers a comforting yet sophisticated finish, perfectly balancing sweetness and warmth.","Karl Lagerfeld Rouge Eau de Parfum Discover Karl Lagerfeld Rouge Eau de Parfum, the bold revival of an iconic fragrance—where timeless elegance meets daring modernity in a dazzling fruity-floral harmony.Where red speaks louder than words!What is the story of Karl Lagerfeld Rouge Eau de Parfum?After nearly a decade, Karl Lagerfeld’s signature scent is reborn as Rouge, paying homage to the designer’s beloved shade of red. Crafted by perfumer Romain Almairac, this eau de parfum captures the contrast of classical elegance and avant-garde energy—an olfactory paradox inspired by Lagerfeld's world.Fragrance Features:Distinctive red bottle with iconic geometric designModern yet timeless, bold yet balancedFragrance Composition:The fragrance opens with a vibrant blend of blackcurrant, pear, and peach, creating a juicy and inviting introduction that immediately captures the senses. As it unfolds, the heart reveals a radiant bouquet of jasmine and orange blossom, delicately enhanced by the earthy richness of patchouli. This floral-spicy core brings both lightness and depth, adding a sensual dimension to the composition. Finally, the base settles into a warm, enveloping embrace of ambroxan, smooth vanilla, creamy caramel, and the soft elegance of cashmere wood. This lasting trail offers a comforting yet sophisticated finish, perfectly balancing sweetness and warmth."
008772HD,Osmoclean Bifasic Make Up Remover for Eyes and Lips ,Institut Esthederm,Eye Makeup Removers,makeup/eyes-brows/eye-makeup-removers,Osmoclean Bifasic Make Up Remover for Eyes and Lips,"Osmoclean bifasic make-up remover for eyes and lips is anextremely smooth care which issuitable for all skin types.   In harmony with sensitive skin, compatible with waterproof and long lasting make-up.   Respect eye contour sensitive skin and is likely to be used by contact lenses users. Can be used on fragile and irritatedlips and also respect the skin flora.  Has the ability to remove make-up quickly and effectively, with high security and tolerance.","Institut Esthederm Osmoclean Bifasic Make Up Remover for Eyes and Lips  Osmoclean bifasic make-up remover for eyes and lips is anextremely smooth care which issuitable for all skin types.   In harmony with sensitive skin, compatible with waterproof and long lasting make-up.   Respect eye contour sensitive skin and is likely to be used by contact lenses users. Can be used on fragile and irritatedlips and also respect the skin flora.  Has the ability to remove make-up quickly and effectively, with high security and tolerance."
002753DI,Miss Dior Parfum,Dior,Fragrances,fragrance/women,Miss Dior Parfum,"Dior Miss Dior Parfum is a bold and radiant reinvention of the original icon — an intense floral chypre fragrance crafted for the modern woman.Where heritage meets daring youth!What is the story of the Miss Dior perfume?Dior reimagines its legendary Miss Dior fragrance with Miss Dior Parfum, a powerful expression of femininity by Francis Kurkdjian. Inspired by the original 1947 scent. The iconic bottle features the timeless Miss Dior houndstooth in luminous pink and a silver ‘poignard’ bow woven from Lurex, elevating elegance to couture level.Fragrance Features:Intense floral chypre with ambery woods;Composed by Francis Kurkdjian;Signature Miss Dior bow and houndstooth design;A bold reinterpretation of a classic.Fragrance Composition:This fragrance opens with the captivating allure of Rare Jasmine, creating a luminous and delicate introduction. At the heart, juicy Mandarin adds a burst of freshness and brightness. The scent settles into warm Ambery Woods, leaving a sensual and lasting impression.","Dior Miss Dior Parfum Dior Miss Dior Parfum is a bold and radiant reinvention of the original icon — an intense floral chypre fragrance crafted for the modern woman.Where heritage meets daring youth!What is the story of the Miss Dior perfume?Dior reimagines its legendary Miss Dior fragrance with Miss Dior Parfum, a powerful expression of femininity by Francis Kurkdjian. Inspired by the original 1947 scent. The iconic bottle features the timeless Miss Dior houndstooth in luminous pink and a silver ‘poignard’ bow woven from Lurex, elevating elegance to couture level.Fragrance Features:Intense floral chypre with ambery woods;Composed by Francis Kurkdjian;Signature Miss Dior bow and houndstooth design;A bold reinterpretation of a classic.Fragrance Composition:This fragrance opens with the captivating allure of Rare Jasmine, creating a luminous and delicate introduction. At the heart, juicy Mandarin adds a burst of freshness and brightness. The scent settles into warm Ambery Woods, leaving a sensual and lasting impression."
021212RP,Anthelios Post-UV After-Sun,La Roche Posay,After-Sun,sun-tan/after-sun,Anthelios Post-Uv After-Sun Lotion,"Discover the ultimate relief for sun-exposed, sensitive skin with La Roche-Posay Anthelios Post-UV Lotion After-Sun. Dermatologist-recommended for its soothing and reparative properties.Quench Your Skin’s Thirst After Sun Exposure!Key Benefits:Soothes: Formulated with panthenol, glycerin, and La Roche-Posay thermal spring water to alleviate heat sensations and discomfort.Repairs: Helps restore skin’s moisture and repair dryness.Strengthens: Reinforces the skin barrier with 99% natural-origin ingredients.Active Ingredients:La Roche-Posay thermal spring water: Soothes and calms the skin.Glycerin: Provides deep nourishment.Panthenol: Aids in skin repair.La Roche-Posay Anthelios Post-UV Lotion After-Sun is an essential addition to your beauty routine, offering unparalleled relief and care for sun-exposed skin. Experience immediate soothing, deep hydration, and enhanced skin barrier strength, ensuring your skin feels revitalized and comfortable after every sun-filled day.","La Roche Posay Anthelios Post-UV After-Sun Discover the ultimate relief for sun-exposed, sensitive skin with La Roche-Posay Anthelios Post-UV Lotion After-Sun. Dermatologist-recommended for its soothing and reparative properties.Quench Your Skin’s Thirst After Sun Exposure!Key Benefits:Soothes: Formulated with panthenol, glycerin, and La Roche-Posay thermal spring water to alleviate heat sensations and discomfort.Repairs: Helps restore skin’s moisture and repair dryness.Strengthens: Reinforces the skin barrier with 99% natural-origin ingredients.Active Ingredients:La Roche-Posay thermal spring water: Soothes and calms the skin.Glycerin: Provides deep nourishment.Panthenol: Aids in skin repair.La Roche-Posay Anthelios Post-UV Lotion After-Sun is an essential addition to your beauty routine, offering unparalleled relief and care for sun-exposed skin. Experience immediate soothing, deep hydration, and enhanced skin barrier strength, ensuring your skin feels revitalized and comfortable after every sun-filled day."
017950KN,Madagascar Centella Light Cleansing Oil,SKIN1004,Normal Skin,skin/cleansers-tonners/normal-skin,Madagascar Centella Light Cleansing Oil - for All Skin Types,"Introducing the Madagascar Centella Light Cleansing Oil - a luxurious, oil-based cleanser that effortlessly removes makeup, dirt, oils, and sunscreen, all without irritating the delicate eye area. Infused with Centella Asiatica</i> extract and four botanical oils - sunflower, bergamot, olive, and jojoba - this cleanser reduces sebum production and blackheads, leaving your skin feeling silky soft, and deeply moisturized.This exceptional product is the perfect first step in a double-cleansing routine. As it emulsifies into a milky texture when mixed with water, it makes for an easy and efficient process that removes even the heaviest of makeup in one sweep. With the ""like-dissolves-like"" concept, it deeply cleanses oily and acne-prone skin, dissolving impurities while keeping the skin hydrated and nourished.Treat yourself to a radiant and healthy complexion today!Enriched with an impressive 10,000ppm of pure Madagascar Centella extract, this product is the ultimate solution for soothing irritated skin and strengthening the skin barrier, empowering your skin's natural power to revitalize.","SKIN1004 Madagascar Centella Light Cleansing Oil Introducing the Madagascar Centella Light Cleansing Oil - a luxurious, oil-based cleanser that effortlessly removes makeup, dirt, oils, and sunscreen, all without irritating the delicate eye area. Infused with Centella Asiatica</i> extract and four botanical oils - sunflower, bergamot, olive, and jojoba - this cleanser reduces sebum production and blackheads, leaving your skin feeling silky soft, and deeply moisturized.This exceptional product is the perfect first step in a double-cleansing routine. As it emulsifies into a milky texture when mixed with water, it makes for an easy and efficient process that removes even the heaviest of makeup in one sweep. With the ""like-dissolves-like"" concept, it deeply cleanses oily and acne-prone skin, dissolving impurities while keeping the skin hydrated and nourished.Treat yourself to a radiant and healthy complexion today!Enriched with an impressive 10,000ppm of pure Madagascar Centella extract, this product is the ultimate solution for soothing irritated skin and strengthening the skin barrier, empowering your skin's natural power to revitalize."
016867US,Beauty Capilar Anti-Hair Loss,Colagenius,Supplements,hair/supplements,Beauty Capilar Anti-Hair Loss Capsules,"Colag&eacute;nius Beauty Capilar are capsules that enhance hair growth while strengthening it.   Stronger and longer hair!   An anti-fall food supplement formulated with Biotin, Zinc and Selenium, which contribute to the maintenance of normal hair, Vitamin C which contributes to the normal formation of collagen, Eruca sativa, which helps stimulate the hair follicle, favoring hair growth, and Serenoa repens, and contributes to keeping your hair healthy.","Colagenius Beauty Capilar Anti-Hair Loss Colag&eacute;nius Beauty Capilar are capsules that enhance hair growth while strengthening it.   Stronger and longer hair!   An anti-fall food supplement formulated with Biotin, Zinc and Selenium, which contribute to the maintenance of normal hair, Vitamin C which contributes to the normal formation of collagen, Eruca sativa, which helps stimulate the hair follicle, favoring hair growth, and Serenoa repens, and contributes to keeping your hair healthy."
013911GL,Super Aqua-Emulsion Universal Pre & Pro-Aging Hydration ,Guerlain,Dryness & Dehydration,skin/dehydration/specific-moisturizers,Super Aqua-Emulsion Universal Pre & Pro-Aging Hydration,"Super aqua-emulsion universal pre &amp; pro-aging hydration is the essential care for an immediate and prolonged hydrated skin.   Ideal for sensitive areas and skin!   Formulated with 94% ingredients of natural origin, its formula relies on Aquacomplex Advanced technology,concentrated in ingredients that promote the flow of water to the inside of the skin.  The AquaBiotic system helps strengthen the skin, resulting in more beautiful and radiant skin, day after day!  The creamy texture was specially developed forskin and sensitive areas that need soothing and comforting with hydration.  There are 3 emulsions with different textures - light, universal and rich - to select depending on skin type, age, season or geographical area.","Guerlain Super Aqua-Emulsion Universal Pre & Pro-Aging Hydration  Super aqua-emulsion universal pre &amp; pro-aging hydration is the essential care for an immediate and prolonged hydrated skin.   Ideal for sensitive areas and skin!   Formulated with 94% ingredients of natural origin, its formula relies on Aquacomplex Advanced technology,concentrated in ingredients that promote the flow of water to the inside of the skin.  The AquaBiotic system helps strengthen the skin, resulting in more beautiful and radiant skin, day after day!  The creamy texture was specially developed forskin and sensitive areas that need soothing and comforting with hydration.  There are 3 emulsions with different textures - light, universal and rich - to select depending on skin type, age, season or geographical area."
015718VR,Xerial 30 Body Gel-Cream ,SVR,Dryness & Dehydration,body/moisturisers/dryness-dehydration,Xerial 30 Body Gel-Cream,"Xerial 30 Body Gel-Cream with Urea is an anti-roughness gel-cream!   Moisturizesthebody gently!   It s intendedfor areas of severe dry and cracked skin and areas with ingrown hairs.  Developed with 30% Concentrated Pure Urea and Panthenol, it effectively eliminates dead cells from the surface of the skin. Hydrates intensely for 24 hours and visibly reduces the grainy appearance of the skin!  It has a texture allows easy application and quick penetration, being able to dress right after its application, becauseit does not leave the skin sticky.  Fragrance-free.  Forelastic and smoothly skin for 48H!  ","SVR Xerial 30 Body Gel-Cream  Xerial 30 Body Gel-Cream with Urea is an anti-roughness gel-cream!   Moisturizesthebody gently!   It s intendedfor areas of severe dry and cracked skin and areas with ingrown hairs.  Developed with 30% Concentrated Pure Urea and Panthenol, it effectively eliminates dead cells from the surface of the skin. Hydrates intensely for 24 hours and visibly reduces the grainy appearance of the skin!  It has a texture allows easy application and quick penetration, being able to dress right after its application, becauseit does not leave the skin sticky.  Fragrance-free.  Forelastic and smoothly skin for 48H!  "
021598KY,White Rain Body Wash,Skybottle,Dryness & Dehydration,body/bath-shower/dryness-dehydration,White Rain Perfumed Body Wash,"Transform your shower routine with Skybottle White Rain Perfumed Body Wash—cleanses, exfoliates, and refreshes your skin with a delightful floral aroma.Refresh, Exfoliate, Radiate!Key Benefits:Gently cleanses and exfoliates the skinLeaves skin feeling fresh and soothedImparts a bright, radiant glowInfused with a fresh floral aromaActive Ingredients:Apple extract: Gentle exfoliation and cleansingCitronella extract: Soothing and refreshingSkybottle White Rain Perfumed Body Wash is the must-have addition to your beauty routine, transforming your daily shower into a luxurious, spa-like experience. With the perfect blend of apple and citronella extracts, this body wash ensures your skin is deeply cleansed, gently exfoliated, and left with a radiant glow. The fresh floral aroma with notes of bergamot, tuberose, and honeysuckle adds a relaxing touch, making it an essential part of your skincare regimen.","Skybottle White Rain Body Wash Transform your shower routine with Skybottle White Rain Perfumed Body Wash—cleanses, exfoliates, and refreshes your skin with a delightful floral aroma.Refresh, Exfoliate, Radiate!Key Benefits:Gently cleanses and exfoliates the skinLeaves skin feeling fresh and soothedImparts a bright, radiant glowInfused with a fresh floral aromaActive Ingredients:Apple extract: Gentle exfoliation and cleansingCitronella extract: Soothing and refreshingSkybottle White Rain Perfumed Body Wash is the must-have addition to your beauty routine, transforming your daily shower into a luxurious, spa-like experience. With the perfect blend of apple and citronella extracts, this body wash ensures your skin is deeply cleansed, gently exfoliated, and left with a radiant glow. The fresh floral aroma with notes of bergamot, tuberose, and honeysuckle adds a relaxing touch, making it an essential part of your skincare regimen."
017004IZ,Collagen Power Lifting Toner    ,Mizon,Normal Skin,skin/cleansers-tonners/normal-skin,Collagen Power Lifting Toner Intensive Firming Solution,"Collagen Power Lifting Toneris a toner that improves elasticity and reactivates collagen synthesis in our skin by providing high concentrations (54%) of enriched marine collagen.   It improves skin elasticity and hydrates for a long time!   The formula was developed to combat the aesthetic changes caused by premature aging. Thus, this tonic reduces and prevents the appearance of wrinkles and expression marks.  Fills in age-related wrinkles and skin irregularities through marine collagen. It provides an instant lifting effect, helping to make the face look younger and more toned.  Finally, it deeply moisturizes with a non-greasy texture, providing elastic, smooth and radiant wrinkle-free skin.  Enriched with KFDA proven effective ingredients and exclusive tripeptide-1 copper, adenosine and cocoa extract, which helps to firm the skin and reduce the signs of aging.  Contains no irritating ingredients such as dyes, artificial fragrances or parabens.","Mizon Collagen Power Lifting Toner     Collagen Power Lifting Toneris a toner that improves elasticity and reactivates collagen synthesis in our skin by providing high concentrations (54%) of enriched marine collagen.   It improves skin elasticity and hydrates for a long time!   The formula was developed to combat the aesthetic changes caused by premature aging. Thus, this tonic reduces and prevents the appearance of wrinkles and expression marks.  Fills in age-related wrinkles and skin irregularities through marine collagen. It provides an instant lifting effect, helping to make the face look younger and more toned.  Finally, it deeply moisturizes with a non-greasy texture, providing elastic, smooth and radiant wrinkle-free skin.  Enriched with KFDA proven effective ingredients and exclusive tripeptide-1 copper, adenosine and cocoa extract, which helps to firm the skin and reduce the signs of aging.  Contains no irritating ingredients such as dyes, artificial fragrances or parabens."
